Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
CON ED RAINEY SUBSTATION BROOKLYN TO QUEENS,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,2400.0,CON ED RAINEY SUBSTATION BROOKLYN TO QUEENS
CON ED RAINEY SUBSTATION,QUEENS,Queens,Unknown,Commercial/Industrial,lead,Hazardous Material,2019.0,229.0,CON ED RAINEY SUBSTATION
CON ED SPRAIN BROOK FEEDER M52,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,1990.0,CON ED SPRAIN BROOK FEEDER M52
CON ED SUB STATION,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1000.0,CON ED SUB STATION
CON ED SUB STATION,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2022.0,850.0,CON ED SUB STATION
CON ED SUB STATION,Other,Rockland,Other,Commercial/Industrial,transformer oil,Petroleum,2016.0,295.0,CON ED SUB STATION
CON ED SUBSATION,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,837.0,CON ED SUBSATION
CON ED SUBSATION,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2022.0,100.0,CON ED SUBSATION
CON ED SUBSTATION EAST 13TH ST,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,200.0,CON ED SUBSTATION EAST 13TH ST
CON ED SUBSTATION FEEDER CABLE,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,275.0,CON ED SUBSTATION FEEDER CABLE
CON ED SUBSTATION FEEDER,BROOKLYN,Kings,Equipment Failure,Transformer,dielectric fluid,Petroleum,2019.0,780.0,CON ED SUBSTATION FEEDER
CON ED SUBSTATION TRANSFORMER,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2008.0,2000.0,CON ED SUBSTATION TRANSFORMER
CON ED SUBSTATION,YONKERS,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,210.0,CON ED SUBSTATION
CON ED SUBSTATION,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,1430.0,CON ED SUBSTATION
CON ED TRANSMISSION FEEDER PIPE Y50,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2023.0,1976.0,CON ED TRANSMISSION FEEDER PIPE Y50
CON ED TUNNEL,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,150.0,CON ED TUNNEL
CON ED U/G FEEDER 71,Other,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,185.0,CON ED U/G FEEDER 71
CON ED UNDERGROUND TRANSFORMER 2849,BROOKLYN,Kings,Equipment Failure,Transformer,dielectric fluid,Petroleum,2019.0,150.0,CON ED UNDERGROUND TRANSFORMER 2849
CON ED VAULT 8957,Other,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2016.0,125.0,CON ED VAULT 8957
CON ED VAULT AND ST,BRONX,Bronx,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,100.0,CON ED VAULT AND ST
CON ED VAULT TM572,WHITE PLAINS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2004.0,335.0,CON ED VAULT TM572
CON ED VAULT,MANHATTAN,New York,Unknown,Commercial/Industrial,antifreeze,Other,2010.0,500.0,CON ED VAULT
CON ED VAULT,WHITE PLAINS,Westchester,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2013.0,150.0,CON ED VAULT
CON ED VAULT,Other,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2014.0,500.0,CON ED VAULT
CON ED VAULT,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,400.0,CON ED VAULT
CON ED VAULT# TM470,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2004.0,200.0,CON ED VAULT# TM470
CON ED VAULTED TRANSFORMER,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,500.0,CON ED VAULTED TRANSFORMER
CON ED VERNON SUBSTATION,QUEENS,Queens,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2013.0,140.0,CON ED VERNON SUBSTATION
CON ED Y-50 U/G TRANSMISSION LINE,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2020.0,975.0,CON ED Y-50 U/G TRANSMISSION LINE
CON ED Y50 FEEDER LEAK RATE 2.5 GAL PER HOUR,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,1812.0,CON ED Y50 FEEDER LEAK RATE 2.5 GAL PER HOUR
CON ED Y50 FEEDER LEAK,MOUNT VERNON,Westchester,Equipment Failure,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2024.0,507.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,1359.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,3015.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,985.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2024.0,1654.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LOSS,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2023.0,1850.0,CON ED Y50 FEEDER LOSS
CON ED Y50 FEEDER VAULT,NEW ROCHELLE,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,60000.0,CON ED Y50 FEEDER VAULT
CON ED Y50 U/G FEEDER,YONKERS,Westchester,Equipment Failure,Railroad Car,dielectric fluid,Petroleum,2025.0,1152.0,
CON ED Y71 FEEDER LEAK,YONKERS,Bronx,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,560.0,CON ED Y71 FEEDER LEAK
CON ED Y72 DUNWOODIE TO MOTTHAVEN,BRONX,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,685.0,CON ED Y72 DUNWOODIE TO MOTTHAVEN
CON ED Y72 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,420.0,CON ED Y72 FEEDER LEAK
CON ED,QUEENS,Queens,Equipment Failure,Commercial/Industrial,freon,Other,2015.0,120.0,CON ED
CON ED,MANHATTAN,New York,Other,Commercial/Industrial,transformer oil,Petroleum,2005.0,360.0,CON ED
CON ED,WHITE PLAINS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2008.0,300.0,CON ED
CON ED,Other,Westchester,Storm,Transformer,transformer oil,Petroleum,2019.0,100.0,CON ED
CON ED,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2020.0,100.0,CON ED
CON ED,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2020.0,400.0,CON ED
CON ED,Other,Westchester,Storm,Transformer,transformer oil,Petroleum,2013.0,100.0,CON ED
CON ED,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2016.0,400.0,CON ED
CON ED,BRONX,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,150.0,CON ED
CON ED,NEW ROCHELLE,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2018.0,150.0,CON ED
CON ED,QUEENS,Queens,Traffic Accident,Transformer,transformer oil,Petroleum,2019.0,240.0,CON ED
CON ED-FEEDER LEAK,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2008.0,500.0,CON ED-FEEDER LEAK
CON ED-NARROWS GAS TURBINE SITE,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2008.0,200.0,CON ED-NARROWS GAS TURBINE SITE
CON ED-UNDER GROUND STRUCTURE,MANHATTAN,New York,Equipment Failure,Transformer,dielectric fluid,Petroleum,2018.0,100.0,CON ED-UNDER GROUND STRUCTURE
CON EDISON,MANHATTAN,New York,Unknown,Commercial/Industrial,freon,Other,2001.0,350.0,CON EDISON
CON EDISON,QUEENS,Queens,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2001.0,300.0,CON EDISON
CON EDISON  CORONA SUBSTATION,MANHATTAN,Queens,Other,Commercial/Industrial,lead,Hazardous Material,2018.0,129.0,CON EDISON  CORONA SUBSTATION
CON EDISON - FEEDER M-51,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,250.0,CON EDISON - FEEDER M-51
CON EDISON 38M13 FEEDER LEAK,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2017.0,140.0,CON EDISON 38M13 FEEDER LEAK
CON EDISON 38M72 FEEDER LEAK,MANHATTAN,New York,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",dielectric fluid,Petroleum,2012.0,925.0,CON EDISON 38M72 FEEDER LEAK
CON EDISON BETWEEN 2 SUBSTATIONS,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,225.0,CON EDISON BETWEEN 2 SUBSTATIONS
CON EDISON FEEDER HIT DURING CONSTRUCTION,BROOKLYN,Kings,Human Error,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,5500.0,CON EDISON FEEDER HIT DURING CONSTRUCTION
CON EDISON FEEDER LEAK #38M14,BROOKLYN,Kings,Equipment Failure,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2014.0,656.0,CON EDISON FEEDER LEAK #38M14
CON EDISON FEEDER LEAK - 18001,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2017.0,225.0,CON EDISON FEEDER LEAK - 18001
CON EDISON FEEDER LEAK 38MIC 3,MANHATTAN,New York,Traffic Accident,Commercial/Industrial,transformer oil,Petroleum,2011.0,102.0,CON EDISON FEEDER LEAK 38MIC 3
CON EDISON FEEDER LEAK 69 M72,MANHATTAN,New York,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",dielectric fluid,Petroleum,2012.0,500.0,CON EDISON FEEDER LEAK 69 M72
CON EDISON FEEDER LEAK UNDER EAST RIVER,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,200.0,CON EDISON FEEDER LEAK UNDER EAST RIVER
CON EDISON FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2013.0,600.0,CON EDISON FEEDER LEAK
CON EDISON FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,180.0,CON EDISON FEEDER LEAK
CON EDISON FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2017.0,470.0,CON EDISON FEEDER LEAK
CON EDISON FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2010.0,1000.0,CON EDISON FEEDER LEAK
CON EDISON FEEDER LEAK,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2012.0,560.0,CON EDISON FEEDER LEAK
CON EDISON FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2012.0,226.0,CON EDISON FEEDER LEAK
CON EDISON FEEDER LINE LEAK M52,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,120.0,CON EDISON FEEDER LINE LEAK M52
CON EDISON FEEDER LINE LEAK,BRONX,Kings,Equipment Failure,Transformer,dielectric fluid,Petroleum,2015.0,240.0,CON EDISON FEEDER LINE LEAK
CON EDISON FEEDER LINE LEAK/HELL GATE,BRONX,Bronx,Unknown,Unknown,dielectric fluid,Petroleum,2017.0,800.0,CON EDISON FEEDER LINE LEAK/HELL GATE
CON EDISON FEEDER LINE M51 LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2013.0,700.0,CON EDISON FEEDER LINE M51 LEAK
CON EDISON FEEDER LINE M51 WEST 49 SUB,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,290.0,CON EDISON FEEDER LINE M51 WEST 49 SUB
CON EDISON FEEDER LINE- FARRAGUT SUBSTATION,MANHATTAN,New York,Equipment Failure,Transformer,dielectric fluid,Petroleum,2016.0,190.0,CON EDISON FEEDER LINE- FARRAGUT SUBSTATION
CON EDISON FEEDER M-52,YONKERS,New York,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2019.0,1036.0,CON EDISON FEEDER M-52
CON EDISON FEEDER Y50,NEW ROCHELLE,Westchester,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2020.0,1175.0,CON EDISON FEEDER Y50
CON EDISON FEEDER,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,710.0,CON EDISON FEEDER
CON EDISON FREON RELEASE AT METER SHOP,QUEENS,Queens,Equipment Failure,Commercial/Industrial,freon,Other,2014.0,120.0,CON EDISON FREON RELEASE AT METER SHOP
CON EDISON GOETHELS SUB STATION,STATEN ISLAND,Richmond,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2017.0,1000.0,CON EDISON GOETHELS SUB STATION
CON EDISON JAMAICA SUBSTATION SPILL TO SOIL,QUEENS,Queens,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2013.0,500.0,CON EDISON JAMAICA SUBSTATION SPILL TO SOIL
CON EDISON M14 FEEDER LEAK,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,899.0,CON EDISON M14 FEEDER LEAK
CON EDISON M52 FEEDER LEAK,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,2100.0,CON EDISON M52 FEEDER LEAK
CON EDISON M52 FEEDER LEAK,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,440.0,CON EDISON M52 FEEDER LEAK
CON EDISON PROPERTY,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,400.0,CON EDISON PROPERTY
CON EDISON TRANFORMER VAULT #0469,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2012.0,163.0,CON EDISON TRANFORMER VAULT #0469
CON EDISON TRANSFORMER FIRE,MANHATTAN,New York,Equipment Failure,Transformer,dielectric fluid,Petroleum,2013.0,300.0,CON EDISON TRANSFORMER FIRE
CON EDISON TRANSFORMER MANHOLE #2010,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,100.0,CON EDISON TRANSFORMER MANHOLE #2010
CON EDISON TRANSMISSION FEEDER,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2013.0,219.0,CON EDISON TRANSMISSION FEEDER
CON EDISON TRANSMISSION FEEDER,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2010.0,150.0,CON EDISON TRANSMISSION FEEDER
CON EDISON,BRONX,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,500.0,CON EDISON
CON EDISON,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,200.0,CON EDISON
CON EDISON,MANHATTAN,New York,Equipment Failure,Unknown,transformer oil,Petroleum,2020.0,770.0,CON EDISON
DIELECTRIC SPILL AT CON EDISON MANHOLE,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2012.0,1900.0,DIELECTRIC SPILL AT CON EDISON MANHOLE
FEEDER - MANHOLE # 62576 - CON ED,MANHATTAN,New York,Unknown,Transformer,dielectric fluid,Petroleum,2017.0,2000.0,FEEDER - MANHOLE # 62576 - CON ED
FEEDER LEAK CON ED,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,975.0,FEEDER LEAK CON ED
FEEDER LINE/CON ED,Other,Bronx,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,1300.0,FEEDER LINE/CON ED
HTV 1885 (ON MTA PROPERTY - NOT CON ED),BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,300.0,HTV 1885 (ON MTA PROPERTY - NOT CON ED)
MAN HOLE - FEEDER - CON ED,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,695.0,MAN HOLE - FEEDER - CON ED
MANHOLE - CON ED,MANHATTAN,New York,Equipment Failure,Unknown,dielectric fluid,Petroleum,2009.0,300.0,MANHOLE - CON ED
MANHOLE 61527 CON ED,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,300.0,MANHOLE 61527 CON ED
MANHOLE 62631 CON ED,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,374.0,MANHOLE 62631 CON ED
STRUCTURE # VS2060 CON ED,BRONX,Bronx,Equipment Failure,Transformer,dielectric fluid,Petroleum,2019.0,300.0,STRUCTURE # VS2060 CON ED
TIBBETTS BROOK CON ED M-51 LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,376.0,TIBBETTS BROOK CON ED M-51 LEAK
TX VAULT CON ED,MANHATTAN,New York,Equipment Failure,Transformer,dielectric fluid,Petroleum,2015.0,500.0,TX VAULT CON ED
